 Tables of Bolometric Corrections Derived from the 2008 MARCS model atmospheres
 31 Teffs        12 log gs       11 [Fe/H]s       5 BC values   E(B-V) = 0.000
 2600. 2700. 2800. 2900. 3000. 3100. 3200. 3300. 3400. 3500. 3600. 3700. 3800.
 3900. 4000. 4250. 4500. 4750. 5000. 5250. 5500. 5750. 6000. 6250. 6500. 6750.
 7000. 7250. 7500. 7750. 8000.
 0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5
  19  20  21  22  24  30  31  31  31  31  31  19
 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u      sdss    
 -6.0099 -5.6751 -5.3601 -5.0633 -4.7824 -4.1364 -3.5501 -3.0253 -2.5767 -2.2087
 -1.9230 -1.7216 -1.5870 -1.4933
 -9.9258 -8.9434 -8.2432 -7.7858 -7.5049 -7.3449 -7.2525 -7.1170 -6.8426 -6.4203
 -5.9995 -5.6496 -5.3242 -5.0173 -4.7274 -4.0680 -3.4790 -2.9570 -2.5129 -2.1498
 -1.8662 -1.6624 -1.5274 -1.4389 -1.3770 -1.3320 -1.2975 -1.2682 -1.2393 -1.2062
-10.3112 -9.2039 -8.3362 -7.7161 -7.2928 -7.0057 -6.7999 -6.6459 -6.5143 -6.3303
 -6.0268 -5.6658 -5.3347 -5.0211 -4.7238 -4.0490 -3.4530 -2.9280 -2.4818 -2.1164
 -1.8288 -1.6174 -1.4758 -1.3853 -1.3270 -1.2875 -1.2592 -1.2377 -1.2196 -1.2016
 -1.1797
-10.7998 -9.6278 -8.6306 -7.8480 -7.2774 -6.8735 -6.5807 -6.3482 -6.1474 -5.9707
 -5.8046 -5.5996 -5.3388 -5.0523 -4.7584 -4.0711 -3.4652 -2.9341 -2.4817 -2.1086
 -1.8118 -1.5881 -1.4341 -1.3358 -1.2751 -1.2372 -1.2133 -1.1972 -1.1860 -1.1773
 -1.1688
-11.3467-10.1254 -9.0622 -8.1554 -7.4399 -6.9036 -6.5103 -6.2123 -5.9660 -5.7431
 -5.5368 -5.3496 -5.1676 -4.9750 -4.7581 -4.1202 -3.5050 -2.9661 -2.5053 -2.1217
 -1.8122 -1.5731 -1.4024 -1.2913 -1.2236 -1.1838 -1.1613 -1.1490 -1.1429 -1.1401
 -1.1388
-11.9085-10.7099 -9.5942 -8.6051 -7.7730 -7.1070 -6.5944 -6.2052 -5.9019 -5.6476
 -5.4166 -5.1997 -4.9980 -4.8093 -4.6311 -4.1528 -3.5775 -3.0317 -2.5617 -2.1654
 -1.8401 -1.5822 -1.3902 -1.2597 -1.1784 -1.1311 -1.1060 -1.0944 -1.0910 -1.0925
 -1.0965
-12.4222-11.2767-10.1660 -9.1341 -8.2238 -7.4535 -6.8274 -6.3333 -5.9468 -5.6382
 -5.3786 -5.1447 -4.9251 -4.7168 -4.5215 -4.0859 -3.6307 -3.1157 -2.6383 -2.2296
 -1.8884 -1.6115 -1.3974 -1.2438 -1.1433 -1.0830 -1.0505 -1.0358 -1.0324 -1.0361
 -1.0432
-12.8597-11.7952-10.7248 -9.6963 -8.7446 -7.9038 -7.1851 -6.5918 -6.1123 -5.7281
 -5.4153 -5.1508 -4.9147 -4.6940 -4.4836 -4.0150 -3.6099 -3.1834 -2.7273
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  u      sdss    
-12.3068-11.5781-10.9085-10.1352 -9.2023 -8.3947 -7.8788 -7.5053 -7.2202 -6.9667
 -6.7176 -6.4745 -6.2373 -6.0033 -5.7701 -5.1783 -4.5736 -3.9709 -3.3905
-11.1174-10.8305-10.3584 -9.8591 -9.1489 -8.3159 -7.6995 -7.2719 -6.9448 -6.6637
 -6.3969 -6.1414 -5.8947 -5.6537 -5.4155 -4.8239 -4.2354 -3.6678 -3.1457 -2.6902
-10.2416-10.0508 -9.7579 -9.4335 -9.0209 -8.3586 -7.6587 -7.1383 -6.7601 -6.4489
 -6.1643 -5.8955 -5.6393 -5.3924 -5.1514 -4.5631 -3.9892 -3.4462 -2.9596 -2.5434
 -2.2094
 -9.7244 -9.2141 -9.0756 -8.9156 -8.6777 -8.3207 -7.7374 -7.1253 -6.6681 -6.3158
 -6.0122 -5.7292 -5.4620 -5.2076 -4.9623 -4.3753 -3.8124 -3.2855 -2.8203 -2.4281
 -2.1132 -1.8802
 -9.6811 -8.8832 -8.4359 -8.2723 -8.1928 -8.0194 -7.7172 -7.2173 -6.6778 -6.2614
 -5.9301 -5.6326 -5.3536 -5.0901 -4.8385 -4.2473 -3.6904 -3.1732 -2.7195 -2.3405
 -2.0365 -1.8090 -1.6513 -1.5411
 -9.9070 -8.9039 -8.2239 -7.8133 -7.6042 -7.5183 -7.4111 -7.1744 -6.7723 -6.2929
 -5.9084 -5.5935 -5.3035 -5.0307 -4.7717 -4.1712 -3.6150 -3.1021 -2.6528 -2.2786
 -1.9788 -1.7511 -1.5920 -1.4858 -1.4120 -1.3587 -1.3175 -1.2821 -1.2478 -1.2098
-10.3500 -9.1767 -8.2935 -7.6882 -7.2976 -7.0548 -6.9083 -6.8055 -6.6499 -6.3599
 -5.9563 -5.6007 -5.2993 -5.0186 -4.7529 -4.1407 -3.5812 -3.0683 -2.6182 -2.2423
 -1.9399 -1.7073 -1.5418 -1.4320 -1.3605 -1.3121 -1.2770 -1.2501 -1.2276 -1.2053
 -1.1783
-10.9205 -9.6515 -8.5987 -7.8033 -7.2448 -6.8629 -6.5988 -6.4029 -6.2487 -6.1087
 -5.9249 -5.6400 -5.3285 -5.0421 -4.7714 -4.1489 -3.5842 -3.0688 -2.6141 -2.2315
 -1.9210 -1.6790 -1.5022 -1.3835 -1.3083 -1.2607 -1.2300 -1.2090 -1.1936 -1.1807
 -1.1681
-11.5207-10.2256 -9.0764 -8.1244 -7.3937 -6.8647 -6.4891 -6.2121 -5.9895 -5.7968
 -5.6260 -5.4648 -5.2743 -5.0495 -4.8047 -4.1835 -3.6136 -3.0942 -2.6340 -2.2416
 -1.9194 -1.6641 -1.4729 -1.3412 -1.2574 -1.2069 -1.1772 -1.1595 -1.1492 -1.1429
 -1.1383
-12.1186-10.8418 -9.6592 -8.6149 -7.7443 -7.0626 -6.5529 -6.1768 -5.8901 -5.6536
 -5.4432 -5.2517 -5.0778 -4.9083 -4.7366 -4.2367 -3.6737 -3.1522 -2.6866 -2.2835
 -1.9462 -1.6737 -1.4638 -1.3134 -1.2149 -1.1555 -1.1221 -1.1049 -1.0973 -1.0955
 -1.0962
-12.6594-11.4393-10.2652 -9.1823 -8.2289 -7.4292 -6.7876 -6.2924 -5.9145 -5.6192
 -5.3741 -5.1566 -4.9569 -4.7723 -4.5992 -4.1988 -3.7391 -3.2276 -2.7589 -2.3466
 -1.9946 -1.7041 -1.4741 -1.3023 -1.1842 -1.1103 -1.0682 -1.0470 -1.0390 -1.0390
 -1.0430
-13.1068-11.9693-10.8407 -9.7644 -8.7780 -7.9062 -7.1653 -6.5584 -6.0759 -5.6965
 -5.3934 -5.1412 -4.9194 -4.7160 -4.5255 -4.1069 -3.7286 -3.3026 -2.8440
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  u      sdss    
-12.4460-11.6372-10.8151 -9.8602 -8.8869 -8.1665 -7.7239 -7.3994 -7.1330 -6.9057
 -6.6836 -6.4637 -6.2469 -6.0311 -5.8148 -5.2605 -4.6961 -4.1269 -3.5552
-11.4185-10.9716-10.4234 -9.7576 -8.8825 -8.0619 -7.5265 -7.1465 -6.8513 -6.6035
 -6.3680 -6.1406 -5.9189 -5.7003 -5.4818 -4.9302 -4.3697 -3.8198 -3.3072 -2.8479
-10.5602-10.2629 -9.8916 -9.4889 -8.9079 -8.1139 -7.4464 -6.9899 -6.6528 -6.3792
 -6.1303 -5.8943 -5.6677 -5.4470 -5.2290 -4.6853 -4.1387 -3.6076 -3.1218 -2.6987
 -2.3465
 -9.9058 -9.4472 -9.2945 -9.0441 -8.7260 -8.2105 -7.5176 -6.9449 -6.5406 -6.2294
 -5.9641 -5.7170 -5.4831 -5.2583 -5.0393 -4.5026 -3.9695 -3.4528 -2.9837 -2.5814
 -2.2492 -1.9894
 -9.6298 -8.8954 -8.5819 -8.4941 -8.3309 -8.0721 -7.6281 -7.0303 -6.5239 -6.1549
 -5.8629 -5.6023 -5.3584 -5.1270 -4.9042 -4.3693 -3.8465 -3.3415 -2.8830 -2.4920
 -2.1713 -1.9191 -1.7346 -1.6033
 -9.8423 -8.8486 -8.2179 -7.8915 -7.7817 -7.6915 -7.4901 -7.1284 -6.6200 -6.1641
 -5.8211 -5.5427 -5.2876 -5.0478 -4.8192 -4.2797 -3.7627 -3.2661 -2.8139 -2.4277
 -2.1117 -1.8620 -1.6765 -1.5473 -1.4580 -1.3925 -1.3421 -1.3000 -1.2591 -1.2155
-10.3219 -9.1044 -8.2339 -7.6667 -7.3307 -7.1602 -7.0746 -6.9450 -6.6775 -6.2678
 -5.8516 -5.5314 -5.2632 -5.0145 -4.7794 -4.2317 -3.7159 -3.2238 -2.7743 -2.3877
 -2.0701 -1.8179 -1.6278 -1.4941 -1.4046 -1.3438 -1.3001 -1.2666 -1.2384 -1.2108
 -1.1788
-10.9647 -9.6107 -8.5226 -7.7384 -7.2094 -6.8666 -6.6480 -6.5067 -6.3931 -6.2266
 -5.9421 -5.5775 -5.2771 -5.0192 -4.7777 -4.2211 -3.7039 -3.2133 -2.7633 -2.3723
 -2.0478 -1.7883 -1.5894 -1.4472 -1.3525 -1.2915 -1.2516 -1.2235 -1.2028 -1.1859
 -1.1688
-11.7609-10.2587 -9.0299 -8.0478 -7.3257 -6.8211 -6.4739 -6.2272 -6.0397 -5.8871
 -5.7447 -5.5699 -5.3133 -5.0471 -4.8009 -4.2377 -3.7182 -3.2277 -2.7750 -2.3769
 -2.0425 -1.7714 -1.5609 -1.4069 -1.3031 -1.2377 -1.1980 -1.1736 -1.1579 -1.1471
 -1.1390
-12.3915-10.9471 -9.6781 -8.5680 -7.6710 -6.9927 -6.5019 -6.1485 -5.8847 -5.6720
