   Z  El     A     pct             N                 logN
50.0  Sn 118.0  24.223         0.873 -0.05898575629443027
50.0  Sn 119.0   8.585         0.309  -0.5100415205751654
50.0  Sn 120.0  32.593         1.175  0.07003786660775509
50.0  Sn 122.0   4.629         0.167  -0.7772835288524167
50.0  Sn 124.0   5.789         0.209   -0.679853713888946
51.0  Sb 121.0  57.213         0.179  -0.7471469690201068
51.0  Sb 123.0  42.787         0.134  -0.8728952016351923
52.0  Te 120.0   0.096         0.005  -2.3010299956639813
52.0  Te 122.0   2.603         0.122  -0.9136401693252518
52.0  Te 123.0   0.908         0.043  -1.3665315444204136
52.0  Te 124.0   4.816         0.226   -0.645891560852599
52.0  Te 125.0   7.139         0.335 -0.47495519296315475
52.0  Te 126.0  18.952         0.889  -0.0510982390297863
52.0  Te 128.0  31.687         1.486   0.1720188094245565
52.0  Te 130.0  33.799         1.585   0.2000292665537703
53.0   I 127.0   100.0           1.1  0.04139268515822508
54.0  Xe 124.0   0.129         0.007   -2.154901959985743
54.0  Xe 126.0   0.112         0.006   -2.221848749616356
54.0  Xe 128.0    2.23         0.122  -0.9136401693252518
54.0  Xe 129.0   27.46         1.499   0.1758016328482795
54.0  Xe 130.0    4.38         0.239  -0.6216020990518624
54.0  Xe 131.0    21.8          1.19  0.07554696139253074
54.0  Xe 132.0   26.36         1.438  0.15775888604686378
54.0  Xe 134.0    9.66         0.527 -0.27818938478745336
54.0  Xe 136.0    7.87         0.429 -0.36754270781527576
55.0  Cs 133.0   100.0         0.371 -0.43062609038495414
56.0  Ba 130.0   0.106         0.005  -2.3010299956639813
56.0  Ba 132.0   0.101         0.005  -2.3010299956639813
56.0  Ba 134.0   2.417         0.108  -0.9665762445130504
56.0  Ba 135.0   6.592         0.295   -0.530177984021837
56.0  Ba 136.0   7.853         0.351  -0.4546928835341759
56.0  Ba 137.0  11.232         0.502 -0.29929628285498067
56.0  Ba 138.0  71.699         3.205   0.5058280338548362
57.0 La* 138.0   0.091           0.0                 -inf
57.0  La 139.0  99.909         0.457 -0.34008379993014975
58.0  Ce 136.0   0.186         0.002  -2.6989700043360187
58.0  Ce 138.0    0.25         0.003  -2.5228787452803374
58.0  Ce 140.0   88.45         1.043 0.018284308426530838
58.0  Ce 142.0  11.114         0.131  -0.8827287043442357
59.0  Pr 141.0   100.0         0.172  -0.7644715530924511
60.0  Nd 142.0  27.044         0.231  -0.6363880201078557
60.0  Nd 143.0  12.023         0.103  -0.9871627752948278
60.0  Nd 144.0  23.729         0.203  -0.6925039620867871
60.0  Nd 145.0   8.763         0.075     -1.1249387366083
60.0  Nd 146.0   17.13         0.147  -0.8326826652518239
60.0  Nd 148.0   5.716         0.049  -1.3098039199714864
60.0  Nd 150.0   5.596         0.048  -1.3187587626244128
62.0  Sm 144.0   3.073         0.008  -2.0969100130080562
62.0 Sm* 147.0  14.993         0.041  -1.3872161432802645
62.0 Sm* 148.0  11.241          0.03  -1.5228787452803376
62.0  Sm 149.0  13.819         0.037   -1.431798275933005
62.0  Sm 150.0    7.38          0.02  -1.6989700043360187
62.0  Sm 152.0  26.742         0.071  -1.1487416512809248
62.0  Sm 154.0  22.752          0.06  -1.2218487496163564
63.0  Eu 151.0   47.81        0.0471  -1.3269790928711038
63.0  Eu 153.0   52.19        0.0514  -1.2890368810047244
64.0  Gd 152.0   0.203        0.0007   -3.154901959985743
64.0  Gd 154.0   2.181        0.0078  -2.1079053973095196
64.0  Gd 155.0    14.8        0.0533  -1.2732727909734278
64.0  Gd 156.0  20.466        0.0736  -1.1331221856625011
64.0  Gd 157.0  15.652        0.0563  -1.2494916051486538
64.0  Gd 158.0  24.835        0.0894  -1.0486624812040823
64.0  Gd 160.0  21.864        0.0787  -1.1040252676409354
65.0  Tb 159.0   100.0        0.0634  -1.1979107421182673
66.0  Dy 156.0   0.056        0.0002  -3.6989700043360187
66.0  Dy 158.0   0.095        0.0004  -3.3979400086720375
66.0  Dy 160.0   2.329        0.0094  -2.0268721464003012
66.0  Dy 161.0  18.889        0.0762  -1.1180450286603996
66.0  Dy 162.0  25.475        0.1028  -0.9880068853407431
66.0  Dy 163.0  24.896        0.1005  -0.9978339382434923
66.0  Dy 164.0   28.26        0.1141  -0.9427143555817854
67.0  Ho 165.0   100.0         0.091  -1.0409586076789064
68.0  Er 162.0   0.139        0.0004  -3.3979400086720375
68.0  Er 164.0   1.601        0.0042  -2.3767507096020997
68.0  Er 166.0  33.503         0.088  -1.0555173278498313
68.0  Er 167.0  22.869          0.06  -1.2218487496163564
68.0  Er 168.0  26.978         0.071  -1.1487416512809248
68.0  Er 170.0   14.91         0.039   -1.408935392973501
69.0  Tm 169.0   100.0        0.0406   -1.391473966422806
70.0  Yb 168.0    0.12        0.0003  -3.5228787452803374
70.0  Yb 170.0    2.98        0.0076  -2.1191864077192086
70.0  Yb 171.0   14.09        0.0361   -1.442492798094342
70.0  Yb 172.0   21.69        0.0556  -1.2549252084179425
70.0  Yb 173.0    16.1        0.0413  -1.3840499483435988
70.0  Yb 174.0   32.03        0.0821  -1.0856568428805593
70.0  Yb 176.0    13.0        0.0333    -1.47755576649368
71.0  Lu 175.0 97.1795         0.037   -1.431798275933005
71.0 Lu* 176.0  2.8205        0.0011   -2.958607314841775
72.0  Hf 174.0   0.162        0.0003  -3.5228787452803374
72.0  Hf 176.0   5.206        0.0081  -2.0915149811213505
72.0  Hf 177.0  18.606         0.029   -1.537602002101044
72.0  Hf 178.0  27.297        0.0425  -1.3716110699496884
72.0  Hf 179.0  13.629        0.0212  -1.6736641390712486
72.0  Hf 180.0    35.1        0.0547  -1.2620126736665693
73.0  Ta 180.0  0.0123       2.6e-06   -5.585026652029182
73.0  Ta 181.0 99.9877         0.021  -1.6777807052660807
74.0   W 180.0    0.12        0.0002  -3.6989700043360187
74.0   W 182.0  26.499        0.0363  -1.4400933749638876
74.0   W 183.0  14.314        0.0196  -1.7077439286435239
74.0   W 184.0  30.642         0.042  -1.3767507096020994
74.0   W 186.0  28.426         0.039   -1.408935392973501
75.0  Re 185.0  35.662        0.0207  -1.6840296545430822
75.0 Re* 187.0  64.338        0.0374  -1.4271283977995197
76.0  Os 184.0    0.02        0.0001                 -4.0
76.0  Os 186.0   1.598        0.0108  -1.9665762445130504
76.0  Os 187.0   1.271        0.0086   -2.065501548756432
76.0  Os 188.0  13.337        0.0904  -1.0438315695246367
76.0  Os 189.0  16.261          0.11   -0.958607314841775
76.0  Os 190.0  26.444         0.179  -0.7471469690201068
76.0  Os 192.0   41.07         0.278  -0.5559552040819237
77.0  Ir 191.0  37.272          0.25  -0.6020599913279624
77.0  Ir 193.0  62.728         0.421  -0.3757179041643317
78.0 Pt* 190.0   0.014        0.0002  -3.6989700043360187
78.0  Pt 192.0   0.783          0.01                 -2.0
78.0  Pt 194.0  32.967          0.42 -0.37675070960209955
78.0  Pt 195.0  33.832         0.431  -0.3655227298392684
78.0  Pt 196.0  25.242         0.322  -0.4921441283041691
78.0  Pt 198.0   7.163         0.091  -1.0409586076789064
79.0  Au 197.0   100.0         0.195  -0.7099653886374819
80.0  Hg 196.0    0.15         0.001                 -3.0
80.0  Hg 198.0    9.97         0.046   -1.337242168318426
80.0  Hg 199.0   16.87         0.077  -1.1135092748275182
80.0  Hg 200.0    23.1         0.106  -0.9746941347352298
80.0  Hg 201.0   13.18          0.06  -1.2218487496163564
80.0  Hg 202.0   29.86         0.137  -0.8632794328435932
80.0  Hg 204.0    6.87         0.031  -1.5086383061657274
81.0  Tl 203.0  29.524         0.054  -1.2676062401770316
81.0  Tl 205.0  70.476         0.129   -0.889410289700751
82.0  Pb 204.0   1.997         0.066  -1.1804560644581312
82.0  Pb 206.0  18.582         0.614 -0.21183162885883233
82.0  Pb 207.0  20.563          0.68 -0.16749108729376366
82.0  Pb 208.0  58.858         1.946   0.2891428359323331
83.0  Bi 209.0   100.0        0.1382  -0.8594919569618205
90.0 Th* 232.0   100.0         0.044  -1.3565473235138126
92.0  U* 234.0   0.002       4.9e-07   -6.309803919971486
92.0  U* 235.0  24.286        0.0058  -2.2365720064370627
92.0  U* 238.0  75.712         0.018   -1.744727494896694
