  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
 0.8290379  3.7088  1.7993  2.3442  0.541 -0.060  0.657  0.440  0.895  1.491  1.964  2.067  2.152  2.745  1.9131E-01  1.2951E-01  8.6784E-02
 0.8291287  3.7075  1.8346  2.3039  0.457 -0.054  0.661  0.444  0.902  1.499  1.975  2.078  2.162  2.760  1.7325E-01  1.1726E-01  7.8558E-02
 0.8292111  3.7062  1.8689  2.2644  0.376 -0.048  0.665  0.449  0.909  1.507  1.986  2.091  2.174  2.775  1.5838E-01  1.0717E-01  7.1787E-02
 0.8292871  3.7048  1.9025  2.2254  0.296 -0.041  0.670  0.453  0.916  1.516  1.998  2.103  2.185  2.790  1.4615E-01  9.8872E-02  6.6219E-02
 0.8293573  3.7036  1.9357  2.1872  0.216 -0.035  0.674  0.456  0.923  1.523  2.008  2.114  2.195  2.803  1.3699E-01  9.2655E-02  6.2047E-02
 0.8294241  3.7023  1.9683  2.1497  0.138 -0.028  0.679  0.460  0.929  1.531  2.018  2.124  2.205  2.816  1.3099E-01  8.8579E-02  5.9310E-02
 0.8294883  3.7011  2.0004  2.1128  0.061 -0.021  0.683  0.463  0.935  1.538  2.027  2.135  2.215  2.829  1.2628E-01  8.5382E-02  5.7161E-02
 0.8295504  3.7000  2.0321  2.0766 -0.015 -0.014  0.688  0.466  0.940  1.545  2.036  2.144  2.225  2.841  1.2244E-01  8.2765E-02  5.5403E-02
 0.8296107  3.6989  2.0635  2.0411 -0.091 -0.006  0.693  0.469  0.945  1.551  2.045  2.153  2.233  2.852  1.1455E-01  7.7422E-02  5.1820E-02
 0.8296650  3.6978  2.0941  2.0060 -0.166  0.001  0.698  0.472  0.950  1.557  2.053  2.162  2.242  2.863  1.0210E-01  6.8997E-02  4.6176E-02
 0.8297128  3.6967  2.1241  1.9717 -0.238  0.009  0.704  0.474  0.954  1.563  2.061  2.170  2.250  2.874  8.9120E-02  6.0216E-02  4.0296E-02
 0.8297541  3.6956  2.1535  1.9379 -0.310  0.018  0.710  0.477  0.959  1.569  2.068  2.179  2.259  2.885  8.0148E-02  5.4148E-02  3.6232E-02
 0.8297929  3.6945  2.1823  1.9047 -0.380  0.027  0.716  0.480  0.963  1.576  2.075  2.187  2.267  2.896  7.5035E-02  5.0688E-02  3.3914E-02
 0.8298291  3.6934  2.2104  1.8720 -0.447  0.036  0.723  0.482  0.967  1.581  2.083  2.195  2.276  2.906  7.2574E-02  4.9020E-02  3.2796E-02
 0.8298655  3.6922  2.2379  1.8399 -0.514  0.046  0.730  0.485  0.972  1.587  2.091  2.204  2.285  2.917  7.4288E-02  5.0173E-02  3.3564E-02
 0.8299034  3.6911  2.2649  1.8083 -0.580  0.056  0.738  0.487  0.976  1.593  2.098  2.212  2.293  2.928  7.6783E-02  5.1853E-02  3.4686E-02
 0.8299423  3.6900  2.2916  1.7772 -0.644  0.066  0.745  0.489  0.980  1.599  2.106  2.219  2.302  2.939  8.0832E-02  5.4581E-02  3.6508E-02
 0.8299842  3.6889  2.3180  1.7467 -0.709  0.076  0.752  0.492  0.984  1.604  2.112  2.227  2.310  2.948  7.9802E-02  5.3879E-02  3.6035E-02
 0.8300221  3.6879  2.3439  1.7168 -0.771  0.086  0.759  0.494  0.988  1.610  2.119  2.234  2.318  2.958  6.3458E-02  4.2840E-02  2.8650E-02
 0.8300477  3.6868  2.3689  1.6872 -0.831  0.097  0.767  0.497  0.992  1.616  2.127  2.243  2.327  2.969  4.9343E-02  3.3308E-02  2.2275E-02
 0.8300714  3.6857  2.3935  1.6582 -0.890  0.108  0.775  0.500  0.997  1.622  2.135  2.251  2.335  2.980  4.4056E-02  2.9737E-02  1.9886E-02
 0.8300917  3.6847  2.4182  1.6296 -0.949  0.118  0.782  0.502  1.001  1.627  2.141  2.259  2.343  2.990  4.0866E-02  2.7582E-02  1.8444E-02
 0.8301123  3.6837  2.4424  1.6015 -1.008  0.129  0.789  0.505  1.005  1.633  2.148  2.267  2.352  2.999  3.8210E-02  2.5789E-02  1.7244E-02
 0.8301300  3.6828  2.4662  1.5739 -1.065  0.140  0.796  0.507  1.009  1.639  2.156  2.274  2.360  3.009  3.4564E-02  2.3327E-02  1.5597E-02
 0.8301469  3.6818  2.4896  1.5467 -1.121  0.150  0.804  0.510  1.013  1.645  2.163  2.282  2.369  3.019  3.2798E-02  2.2134E-02  1.4799E-02
 0.8301628  3.6809  2.5126  1.5200 -1.176  0.161  0.811  0.513  1.017  1.651  2.171  2.290  2.377  3.028  3.1164E-02  2.1030E-02  1.4060E-02
 0.8301780  3.6799  2.5352  1.4936 -1.230  0.172  0.819  0.515  1.022  1.657  2.178  2.298  2.386  3.038  2.9867E-02  2.0154E-02  1.3474E-02
 0.8301926  3.6790  2.5575  1.4677 -1.283  0.183  0.826  0.518  1.026  1.664  2.186  2.306  2.394  3.049  2.7545E-02  1.8586E-02  1.2426E-02
 0.8302056  3.6781  2.5793  1.4422 -1.334  0.194  0.834  0.520  1.030  1.670  2.194  2.315  2.403  3.059  2.5688E-02  1.7332E-02  1.1587E-02
 0.8302183  3.6772  2.6009  1.4171 -1.385  0.205  0.841  0.522  1.034  1.677  2.202  2.324  2.412  3.069  2.4736E-02  1.6689E-02  1.1157E-02
 0.8302303  3.6763  2.6219  1.3924 -1.434  0.216  0.849  0.525  1.039  1.684  2.211  2.333  2.422  3.080  2.3457E-02  1.5826E-02  1.0580E-02
 0.8302418  3.6753  2.6425  1.3680 -1.482  0.228  0.856  0.528  1.044  1.692  2.220  2.342  2.432  3.091  2.2402E-02  1.5114E-02  1.0103E-02
 0.8302527  3.6744  2.6627  1.3441 -1.529  0.239  0.864  0.531  1.049  1.699  2.229  2.352  2.442  3.102  2.1234E-02  1.4326E-02  9.5761E-03
 0.8302630  3.6735  2.6824  1.3205 -1.574  0.251  0.872  0.534  1.054  1.707  2.239  2.362  2.453  3.114  2.0358E-02  1.3734E-02  9.1806E-03
 0.8302731  3.6725  2.7019  1.2974 -1.619  0.262  0.880  0.537  1.059  1.715  2.248  2.372  2.463  3.126  1.9814E-02  1.3367E-02  8.9347E-03
 0.8302828  3.6716  2.7211  1.2745 -1.663  0.273  0.888  0.540  1.064  1.723  2.258  2.382  2.474  3.138  1.8393E-02  1.2408E-02  8.2936E-03
 0.8302915  3.6707  2.7401  1.2520 -1.706  0.285  0.896  0.543  1.070  1.731  2.267  2.392  2.484  3.150  1.7125E-02  1.1552E-02  7.7216E-03
 0.8302999  3.6699  2.7588  1.2299 -1.749  0.296  0.903  0.546  1.075  1.739  2.277  2.402  2.494  3.162  1.6607E-02  1.1202E-02  7.4875E-03
 0.8303081  3.6690  2.7772  1.2081 -1.790  0.308  0.911  0.549  1.080  1.747  2.286  2.412  2.505  3.173  1.6116E-02  1.0871E-02  7.2659E-03
 0.8303161  3.6681  2.7952  1.1866 -1.830  0.320  0.919  0.552  1.086  1.755  2.296  2.422  2.516  3.185  1.5866E-02  1.0702E-02  7.1529E-03
 0.8303239  3.6673  2.8129  1.1654 -1.870  0.331  0.927  0.555  1.091  1.763  2.306  2.432  2.527  3.197  1.5168E-02  1.0231E-02  6.8379E-03
 0.8303312  3.6664  2.8304  1.1445 -1.909  0.343  0.935  0.558  1.097  1.772  2.316  2.443  2.537  3.209  1.3704E-02  9.2433E-03  6.1778E-03
 0.8303376  3.6656  2.8477  1.1240 -1.948  0.355  0.943  0.562  1.103  1.780  2.326  2.453  2.548  3.221  1.2770E-02  8.6133E-03  5.7567E-03
 0.8303440  3.6648  2.8646  1.1037 -1.986  0.366  0.951  0.566  1.108  1.789  2.335  2.464  2.559  3.233  1.2551E-02  8.4653E-03  5.6577E-03
 0.8303502  3.6640  2.8814  1.0837 -2.023  0.378  0.959  0.569  1.114  1.797  2.345  2.474  2.570  3.245  1.2392E-02  8.3579E-03  5.5859E-03
 0.8303564  3.6632  2.8980  1.0641 -2.059  0.390  0.967  0.573  1.121  1.805  2.355  2.484  2.580  3.257  1.2349E-02  8.3287E-03  5.5663E-03
 0.8303625  3.6624  2.9143  1.0446 -2.095  0.401  0.975  0.576  1.127  1.813  2.365  2.494  2.590  3.268  1.2093E-02  8.1556E-03  5.4505E-03
 0.8303685  3.6617  2.9304  1.0255 -2.130  0.412  0.982  0.579  1.133  1.821  2.374  2.504  2.601  3.280  1.1044E-02  7.4482E-03  4.9777E-03
