#Z=0.000386 Y=0.230772 OS=0.20 l/Hp=1.743201 [Fe/H]=   -2.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
#age(Gyr)=12.000 140 points
 0.8262863  3.7408  0.7968  3.4735  2.976 -0.183  0.553  0.380  0.781  1.285  1.685  1.768  1.849  2.341  1.4319E+00  9.7694E-01  6.5824E-01
 0.8269913  3.7374  0.8443  3.4127  2.862 -0.169  0.567  0.386  0.792  1.307  1.715  1.801  1.884  2.387  1.3733E+00  9.3511E-01  6.2917E-01
 0.8276595  3.7347  0.8955  3.3511  2.738 -0.156  0.579  0.390  0.799  1.324  1.738  1.826  1.911  2.423  1.2873E+00  8.7488E-01  5.8786E-01
 0.8282785  3.7326  0.9486  3.2899  2.608 -0.146  0.588  0.393  0.805  1.337  1.756  1.846  1.932  2.450  1.1838E+00  8.0314E-01  5.3900E-01
 0.8288433  3.7308  1.0020  3.2297  2.477 -0.136  0.597  0.395  0.809  1.349  1.770  1.861  1.949  2.471  1.0771E+00  7.2958E-01  4.8908E-01
 0.8293556  3.7292  1.0544  3.1709  2.347 -0.127  0.604  0.398  0.813  1.359  1.785  1.876  1.964  2.491  9.7658E-01  6.6054E-01  4.4235E-01
 0.8298199  3.7276  1.1061  3.1133  2.220 -0.119  0.611  0.400  0.816  1.368  1.797  1.889  1.978  2.510  8.9525E-01  6.0473E-01  4.0459E-01
 0.8302509  3.7262  1.1568  3.0570  2.095 -0.110  0.618  0.402  0.820  1.377  1.809  1.902  1.992  2.527  8.2891E-01  5.5924E-01  3.7384E-01
 0.8306488  3.7247  1.2065  3.0018  1.973 -0.103  0.624  0.404  0.824  1.386  1.822  1.914  2.005  2.545  7.5625E-01  5.0964E-01  3.4042E-01
 0.8310071  3.7233  1.2554  2.9475  1.853 -0.095  0.630  0.406  0.828  1.394  1.833  1.927  2.018  2.561  6.7767E-01  4.5622E-01  3.0452E-01
 0.8313265  3.7219  1.3031  2.8941  1.736 -0.087  0.635  0.409  0.832  1.404  1.845  1.939  2.031  2.578  6.0418E-01  4.0638E-01  2.7108E-01
 0.8316113  3.7204  1.3498  2.8417  1.622 -0.079  0.642  0.411  0.837  1.413  1.858  1.953  2.044  2.595  5.4149E-01  3.6392E-01  2.4261E-01
 0.8318680  3.7189  1.3955  2.7901  1.511 -0.071  0.647  0.415  0.842  1.422  1.870  1.966  2.057  2.612  4.8840E-01  3.2800E-01  2.1856E-01
 0.8320997  3.7175  1.4407  2.7396  1.401 -0.064  0.652  0.418  0.848  1.430  1.881  1.979  2.069  2.628  4.3985E-01  2.9520E-01  1.9661E-01
 0.8323078  3.7161  1.4848  2.6899  1.295 -0.057  0.657  0.421  0.854  1.439  1.894  1.992  2.082  2.644  3.9494E-01  2.6490E-01  1.7636E-01
 0.8324946  3.7147  1.5280  2.6410  1.190 -0.050  0.662  0.425  0.861  1.449  1.906  2.005  2.094  2.660  3.5452E-01  2.3766E-01  1.5817E-01
 0.8326623  3.7133  1.5705  2.5931  1.088 -0.043  0.667  0.428  0.867  1.458  1.919  2.018  2.106  2.676  3.1811E-01  2.1315E-01  1.4181E-01
 0.8328127  3.7118  1.6120  2.5458  0.989 -0.036  0.672  0.433  0.874  1.467  1.931  2.032  2.118  2.692  2.8331E-01  1.8976E-01  1.2621E-01
 0.8329456  3.7102  1.6520  2.4995  0.894 -0.028  0.677  0.437  0.883  1.477  1.946  2.047  2.132  2.710  2.5383E-01  1.6995E-01  1.1300E-01
 0.8330666  3.7087  1.6915  2.4538  0.800 -0.021  0.682  0.441  0.892  1.487  1.958  2.061  2.144  2.727  2.3082E-01  1.5449E-01  1.0269E-01
 0.8331765  3.7071  1.7301  2.4091  0.708 -0.014  0.688  0.446  0.900  1.496  1.972  2.075  2.158  2.745  2.1248E-01  1.4217E-01  9.4485E-02
 0.8332790  3.7058  1.7686  2.3652  0.616 -0.006  0.693  0.450  0.907  1.505  1.983  2.088  2.170  2.760  2.0096E-01  1.3442E-01  8.9320E-02
 0.8333774  3.7044  1.8063  2.3220  0.526  0.001  0.698  0.454  0.914  1.513  1.995  2.100  2.181  2.774  1.9428E-01  1.2992E-01  8.6309E-02
