# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jul  9 20:54:27 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 9.00000 1.3263618946 2.5223991871    1.326  0.921  3.9884  4.545    1 2.467 3.063 2.609 2.874 3.094 3.231 3.277
9.8116e-05 -2.19174 9.00000 1.3500000238 2.5249314308    1.350  0.963  3.9965  4.543    1 2.363 2.968 2.534 2.809 3.036 3.175 3.223
9.8116e-05 -2.19174 9.00000 1.3644765615 2.5264325142    1.365  0.988  4.0013  4.542    1 2.300 2.912 2.490 2.771 3.001 3.142 3.190
9.8116e-05 -2.19174 9.00000 1.3999093771 2.5299563408    1.400  1.050  4.0131  4.538    1 2.144 2.775 2.384 2.678 2.915 3.059 3.111
9.8116e-05 -2.19174 9.00000 1.3999999762 2.5299651623    1.400  1.050  4.0131  4.538    1 2.144 2.774 2.383 2.678 2.914 3.059 3.111
9.8116e-05 -2.19174 9.00000 1.4201478958 2.5318787098    1.420  1.086  4.0199  4.536    1 2.055 2.697 2.324 2.625 2.865 3.012 3.066
9.8116e-05 -2.19174 9.00000 1.4466137886 2.5342993736    1.447  1.134  4.0287  4.531    1 1.935 2.596 2.245 2.555 2.800 2.949 3.006
9.8116e-05 -2.19174 9.00000 1.4500000477 2.5346016884    1.450  1.140  4.0299  4.531    1 1.919 2.582 2.235 2.545 2.791 2.941 2.998
9.8116e-05 -2.19174 9.00000 1.4708927870 2.5364320278    1.471  1.179  4.0372  4.527    1 1.822 2.503 2.173 2.489 2.738 2.891 2.950
9.8116e-05 -2.19174 9.00000 1.4931671619 2.5383186340    1.493  1.221  4.0447  4.522    1 1.718 2.417 2.106 2.429 2.681 2.836 2.897
9.8116e-05 -2.19174 9.00000 1.5000000000 2.5388846397    1.500  1.233  4.0470  4.521    1 1.686 2.391 2.085 2.410 2.663 2.819 2.881
9.8116e-05 -2.19174 9.00000 1.5055696964 2.5393414497    1.506  1.244  4.0488  4.519    1 1.661 2.370 2.069 2.394 2.648 2.805 2.867
9.8116e-05 -2.19174 9.00000 1.5312923193 2.5414018631    1.531  1.292  4.0565  4.509    1 1.539 2.269 1.986 2.317 2.574 2.733 2.798
9.8116e-05 -2.19174 9.00000 1.5499999523 2.5428512096    1.550  1.328  4.0613  4.497    1 1.450 2.193 1.921 2.256 2.515 2.675 2.741
9.8116e-05 -2.19174 9.00000 1.5554159880 2.5432634354    1.555  1.338  4.0625  4.494    1 1.425 2.171 1.902 2.238 2.497 2.658 2.725
9.8116e-05 -2.19174 9.00000 1.5781855583 2.5449602604    1.578  1.380  4.0667  4.474    1 1.319 2.076 1.818 2.157 2.418 2.580 2.647
9.8116e-05 -2.19174 9.00000 1.6000000238 2.5465342999    1.600  1.421  4.0690  4.449    1 1.216 1.978 1.728 2.068 2.329 2.492 2.560
9.8116e-05 -2.19174 9.00000 1.6074687243 2.5470616817    1.607  1.435  4.0695  4.439    1 1.181 1.944 1.695 2.036 2.298 2.460 2.529
9.8116e-05 -2.19174 9.00000 1.6266387701 2.5483903885    1.626  1.472  4.0698  4.409    1 1.090 1.850 1.606 1.947 2.209 2.371 2.440
9.8116e-05 -2.19174 9.00000 1.6484261751 2.5498573780    1.648  1.514  4.0684  4.366    1 0.985 1.736 1.493 1.833 2.095 2.255 2.324
9.8116e-05 -2.19174 9.00000 1.6499999762 2.5499615669    1.649  1.517  4.0679  4.361    1 0.977 1.725 1.482 1.822 2.084 2.243 2.312
9.8116e-05 -2.19174 9.00000 1.6651937962 2.5509562492    1.665  1.548  4.0657  4.327    1 0.901 1.639 1.395 1.734 1.995 2.153 2.222
9.8116e-05 -2.19174 9.00000 1.6875245571 2.5523810387    1.687  1.594  4.0609  4.266    1 0.784 1.499 1.253 1.590 1.849 2.003 2.072
9.8116e-05 -2.19174 9.00000 1.7000000477 2.5531582832    1.699  1.623  4.0582  4.230    1 0.712 1.414 1.167 1.502 1.761 1.912 1.981
