Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
21    1     JI16b       J135759.7+125426.4          [KWK2009]_9                        *        *        UF    RG    13_57_59.743   12_54_26.16    1.87    2009ApJ...690..453K *       *       *       *       *       *       *       *       4936   1.8    -2.63 2.05    *     *     6.12 *    *    *    4.06 5.36 2.78 5.88 *    *    *    4.18  0.32  2.69  *     2.83  2.8   4.87  2.18  3.88  *     *    *     *     *     *     *    -2.16 *     *     *     *     *     *     *     *     *     *    *     -2.15 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.45   *     *      *      4.89  
22    1     PRE00       CS29518-039                 [PS72]_298                         *        *        *     MS    1_22_45.579    -28_24_29.84   -28     1999AJ....117.2329W *       14.57   14.26   *       *       13.582  13.33   13.35   7050   4.2    -2.49 2       *     *     *    *    *    *    *    5.32 *    *    *    *    *    4.1   0.55  2.8   *     2.9   2.9   5.03  *     *     *     *    *     *     *     *     *    0.85  *     *     *     *     *     *     *     *     *     *    *     1.09  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
23    1     SHE01       UMi168                      [V67]_168                          RS       *        DW    RG    *              *              *       *                   18.83   17.98   *       *       *       *       *       *       4625   1.3    -2.18 1.7     *     *     *    *    *    *    4.15 5.63 *    5.37 *    *    *    4.29  *     2.82  *     2.85  3.21  5.34  2.74  4.1   *     2.45 *     *     *     *     *    *     -0.28 *     *     *     *     *     *     *     *     *    *     0.13  *     -0.81 *     -0.45 -1.18 -1.67 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
24    1     SHE01       UMi177                      [V67]_177                          *        *        DW    RG    *              *              *       *                   18.19   16.9    *       *       *       *       *       *       4300   0.4    -2.01 1.9     *     *     *    *    6.82 *    3.95 5.89 4.46 6.05 *    *    *    4.53  *     3.13  *     3.43  3.01  5.51  3.17  4.32  *     2.58 *     *     *     *     *    *     -0.29 *     *     *     *     *     *     *     *     *    *     -0.1  *     -0.97 *     -0.6  -0.53 -1.24 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
25    1     SHE01       UMi297                      [V67]_297                          R1       *        DW    RG    *              *              *       *                   18.48   16.91   *       *       *       *       *       *       4075   0.4    -1.68 2.3     *     *     *    *    7.33 *    4.8  6.14 4.79 6.17 *    *    *    4.7   *     3.43  2.19  4.13  3.36  5.84  3.3   4.45  *     2.72 *     *     *     *     *    *     0.52  *     *     *     *     *     *     *     *     *    *     0.6   *     -0.36 *     0.27  0.38  -0.43 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
26    1     FUL00       HIP107975                   *_15_Peg                           *        *        *     SG    21_52_29.91696 28_47_36.7464  18.93   2011AAS...21743412C 5.82    5.95    5.53    *       *       4.63    4.441   4.332   6275   3.9    -0.5  1.5     *     *     *    *    *    *    5.87 7.22 5.93 7.16 *    *    *    5.87  *     4.51  3.5   5.01  *     6.89  *     5.68  *     *    *     *     *     *     *    *     1.55  1.96  *     *     *     *     *     *     *     *    *     1.78  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
27    1     FUL00       HIP171                      *_85_Peg                           *        *        *     MS    0_2_10.15644   27_4_56.1304   -36.22  2004A&A...424..727P 6.47    6.42    5.75    5.16    4.73    4.42    4       3.89    5275   4.1    -0.9  1.05    *     *     *    *    *    *    5.59 7.13 5.99 6.97 *    *    *    5.74  *     4.31  3.19  4.76  *     6.52  *     5.33  *     *    *     *     *     *     *    *     1.18  1.65  *     *     *     *     *     *     *     *    *     0.94  *     *     *     *     *     -0.15 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
28    1     FUL00       HIP27654                    *_del_Lep                          *        *        *     RG    5_51_19.29613  -20_52_44.7232 100.2   2006AstL...32..759G 5.54    4.83    3.85    2.99    2.43    1.985   1.423   1.314   4550   2.1    -0.8  1.5     *     *     *    *    *    *    5.69 7.1  *    7.11 *    *    *    5.72  *     4.32  3.06  4.66  *     6.58  *     5.41  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     0.95  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
29    1     FUL00       HIP14086                    *_eps_For                          *        *        *     SG    3_1_37.6369    -28_5_29.5964  40.72   2015A&A...574A..50J *       6.68    5.85    *       *       4.364   3.793   3.82    5075   3.6    -0.6  1.1     *     *     *    *    *    *    5.73 7.3  6.19 7.22 *    *    *    5.92  *     4.64  3.46  5     *     6.81  *     5.6   *     *    *     *     *     *     *    *     1.59  2.27  *     *     *     *     *     *     *     *    *     1.33  *     *     *     *     *     0.19  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
30    1     JON05       HD203608                    *_gam_Pav                          *        *        *     MS    21_26_26.60484 -65_21_58.3145 -30.7   2010A&A...521A..12M 4.57    4.7     4.22    3.75    3.45    3.27    2.98    2.91    6063   4.29   -0.74 1.5     *     *     *    *    8.24 *    5.76 7.01 5.84 6.92 *    *    *    5.72  2.47  *     3.39  4.93  *     6.76  *     5.52  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     1.28  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
31    1     FUL00       HIP5336                     *_mu._Cas                          *        *        *     MS    1_8_16.3947    54_55_13.2264  -98.1   2004A&A...424..727P 5.93    5.86    5.17    4.55    4.13    4.03    3.6     3.51    5250   4.4    -0.8  0.9     *     *     *    *    *    *    5.42 7.07 5.9  6.98 *    *    *    5.66  *     4.38  3.15  4.71  *     6.54  *     5.35  *     *    *     *     *     *     *    *     1.3   1.84  *     *     *     *     *     *     *     *    *     1.03  *     *     *     *     *     0.04  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
