Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
1175  1     FUL00       HIP63970                    BD+33_2300                         RS       *        *     MS    13_6_32.64755  32_40_0.6644   *       *                   *       10.62   10.12   *       *       *       *       *       6075   4.4    -0.07 1       2.56  *     *    *    *    *    6.16 7.49 6.34 7.51 *    *    *    6.27  *     4.97  3.93  5.63  *     7.43  *     6.16  *     *    *     *     *     *     *    *     2.17  2.51  *     *     *     *     *     *     *     *    *     2.19  *     *     *     *     *     0.36  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1176  1     FUL00       HIP115610                   BD+33_4707                         *        *        *     MS    23_25_11.31081 34_17_14.1572  -41.66  2008A&A...480...91S *       10.29   9.31    8.7     8.3     7.63    7.15    7.06    4800   4.1    -0.5  1.2     *     *     *    *    *    *    5.93 7.45 6.41 7.32 *    *    *    6.01  *     4.61  3.77  5.09  *     6.89  *     5.75  *     *    *     *     *     *     *    *     1.54  *     *     *     *     *     *     *     *     *    *     1.41  *     *     *     *     *     0.3   *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1177  1     ISH10       BD+342476                   BD+34_2476                         *        *        *     SG    13_59_9.48348  33_51_39.3674  -171.29 2002AJ....124.1144L 10.25   10.44   10.06   9.7     9.6     9.077   8.85    8.811   6162   3.62   -2.16 1.57    *     *     *    *    *    *    3.92 5.83 *    *    *    *    *    4.62  *     3.25  *     3.29  2.7   5.3   *     3.97  *     2.37 *     *     *     *     *    *     0.1   *     *     *     *     *     *     *     *     *    *     -0.24 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      3.35   *     3.59   *      5.31  
1178  2     MEL10       BD+342476                   BD+34_2476                         *        *        *     SG    13_59_9.48348  33_51_39.3674  -171.29 2002AJ....124.1144L 10.25   10.44   10.06   9.7     9.6     9.077   8.85    8.811   6416   3.95   -2.07 *       2.3   *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.43  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1179  1     FUL00       HIP29759                    BD+37_1458                         *        *        *     RG    6_16_1.52188   37_43_18.7548  242.18  2002AJ....124.1144L 9.41    9.52    8.92    8.34    7.91    7.532   7.155   7.086   5200   3      -2    1.25    1.25  *     *    *    *    *    4.12 5.95 *    *    *    *    *    4.57  *     3.03  1.83  3.33  *     5.35  *     4.04  *     *    *     *     *     *     *    *     0.03  0.78  *     *     *     *     *     *     *     *    *     0.05  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1180  2     LAI07       G101-29                     BD+37_1458                         *        *        *     RG    6_16_1.52188   37_43_18.7548  242.18  2002AJ....124.1144L 9.41    9.52    8.92    8.34    7.91    7.532   7.155   7.086   5332   3.13   -2.01 *       *     *     6.85 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.49  *     *     *     *    *     *     *     *     *    1.2   *     *     *     *     *     *     *     *     *     *    *     0.12  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1181  2     RIC09       BD+371458                   BD+37_1458                         *        *        *     SG    6_16_1.52188   37_43_18.7548  242.18  2002AJ....124.1144L 9.41    9.52    8.92    8.34    7.91    7.532   7.155   7.086   5500   3.41   -2.14 *       *     -0.93 *    *    7.73 *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.36  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1182  2     SAI09       BD+371458                   BD+37_1458                         *        *        *     RG    6_16_1.52188   37_43_18.7548  242.18  2002AJ....124.1144L 9.41    9.52    8.92    8.34    7.91    7.532   7.155   7.086   5520   3.32   -2.08 1.5     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.51  *     *     *     2.83 *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      5.38  
1183  1     ROE14b      G190-15                     BD+38_4955                         *        *        *     SG    23_13_38.82045 39_25_2.5901   -54.67  2002AJ....124.1144L 11.52   11.67   11.01   10.38   9.92    9.54    9.217   9.088   4950   3.85   -3.13 1.5     0.65  *     5.75 5.8  7.03 *    *    4.89 3.09 *    *    *    2.06 3.59  -0.07 2.03  0.86  2.46  1.87  4.38  1.68  3.03  *     1.8  *     *     *     *     *    -1.02 -1.54 0.16  *     -0.31 *     *     *     *     *     *    *     -2.15 *     -0.79 -1.21 -0.69 -0.9  -2.14 -0.49 -1.15 -1.11 *     -0.8  -1.35 -1.72 *     -0.24 *     *     *     *     *     *    0.58  *     *     *     *      1.96   *     *      *      4.37  
1184  1     FUL00       HIP103269                   BD+41_3931                         *        *        *     MS    20_55_16.75711 42_18_0.6717   -130.42 2013A&A...552A..64S *       10.86   10.33   10      9.7     9.031   8.698   8.613   5300   4.6    -1.7  0.85    1.34  *     *    *    *    *    4.11 6.06 *    6.06 *    *    *    4.78  *     3.45  2.26  3.8   *     5.71  *     4.4   *     *    *     *     *     *     *    *     0.3   0.89  *     *     *     *     *     *     *     *    *     0.32  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1185  1     FUL00       HIP78640                    BD+42_2667                         *        *        *     MS    16_3_13.29955  42_14_46.6505  -152.77 2002AJ....124.1144L *       10.33   9.85    9.6     9.4     8.822   8.517   8.491   5950   4.2    -1.3  1.2     2.28  *     *    *    *    *    4.75 6.51 *    6.51 *    *    *    5.26  *     3.9   2.48  4.15  *     6.04  *     4.77  *     *    *     *     *     *     *    *     0.85  1.49  *     *     *     *     *     *     *     *    *     0.74  *     *     *     *     *     -0.53 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1186  1     MEL10       BD+423607                   BD+42_3607                         *        *        *     MS    20_9_1.41359   42_51_54.929   -196.11 2002AJ....124.1144L *       10.61   10.13   9.9     9.6     8.973   8.67    8.587   6021   4.59   -2.06 *       2.29  *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.44  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1187  1     HAN12       BD+42621                    BD+42_621                          R1       *        *     RG    2_45_32.4646   42_43_28.869   *       *                   *       10.6    10.38   *       *       9.87    9.8     9.761   4725   1.5    -2.48 1.7     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.02  *     *     *     *    *     *     *     *     *    0.21  -0.56 0.24  *     *     *     *     *     -1.94 *     *    *     -0.85 *     *     *     *     *     -1.43 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1188  2     ITO09       BD+44493                    BD+44_493                          *        NO       *     SG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5510   3.7    -3.68 1.3     1.04  -2    6.02 4.42 6.57 *    2.76 4.37 2.12 4.24 *    *    *    2.9   -0.2  1.54  -1    1.52  0.59  3.77  1.72  2.59  *     1.29 *     *     *     *     *    -1.02 -1.81 -1.31 *     *     *     *     *     *     *     *    *     -2.1  *     *     *     *     *     -3.03 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    -0.27 *     *     *     *      1.53   *     *      *      3.77  
1189  2     ITO13       BD+44493                    BD+44_493                          *        NO       *     RG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5430   3.4    -3.8  1.3     1     -1.8  5.95 4.4  6.5  *    2.71 4.23 2.06 4.17 1.83 4.35 1.95 2.82  -0.39 1.48  0.08  1.44  0.49  3.67  1.7   2.47  -0.55 0.9  *     *     *     *     *    -1.19 -1.86 -1.21 *     *     *     *     *     *     *     *    *     -2.25 *     *     *     *     *     -2.9  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    -0.1  *     *     *     3.42   1.48   0.08  1.59   0.81   3.68  
1190  2     PLA14b      BD+44493                    BD+44_493                          *        CR       *     RG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5430   3.4    -3.8  1.3     *     -2.3  5.78 *    6.35 *    *    *    *    *    *    *    *    *     -0.44 1.43  *     1.67  0.97  3.62  *     2.32  *     *    *     -0.8  *     *     *    *     *     -1.11 -0.77 -0.29 *     *     *     *     -1.79 *    -0.05 *     *     -0.51 *     -0.01 *     -1.46 -1.21 *     *     *     *     *     -1.75 -2.16 -1.31 *     -0.3  *     -1.4  *     *    -0.23 *     *     *     *      1.43   *     1.67   0.97   3.63  
1191  2     ROE14a      BD+44493                    BD+44_493                          R1       NO       *     RG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5040   2.1    -4.26 1.35    0.64  *     5.35 5.75 *    *    *    4.21 1.73 3.71 *    *    *    2.57  -1.06 0.9   0.31  1.04  0.1   3.22  1     2.08  *     1.39 0.35  *     *     *     *    -1.96 -2.49 -1.02 0.34  -0.47 *     *     *     *     *     *    *     -2.98 *     -1.66 -2    -1.82 -1.6  -2.83 -1.31 -1.82 -2.01 -2.21 -1.74 -2.16 -2.4  *     -1.08 *     *     *     *     *     *    0.38  *     -1.89 *     *      0.68   0.31  *      *      3.24  
1192  1     ROE14b      BD+44493                    BD+44_493                          R1       NO       *     RG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5040   2.1    -4.26 1.35    0.64  *     5.35 5.75 *    *    *    4.21 1.73 3.71 *    *    *    2.57  -1.06 0.9   0.31  1.04  0.1   3.22  1     2.08  *     1.39 0.35  *     *     *     *    -1.96 -2.49 -1.02 0.34  -0.47 *     *     *     *     *     *    *     -2.98 *     -1.66 -2    -1.82 -1.6  -2.83 -1.31 -1.82 -2.01 -2.21 -1.74 -2.16 -2.4  *     -1.08 *     *     *     *     *     *    0.38  *     -1.89 *     *      0.68   0.31  *      *      3.24  
1193  2     ROE16b      BD+44493                    BD+44_493                          *        *        *     RG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5430   3.4    -3.8  1.3     *     *     *    *    *    *    *    4.23 *    3.78 1.19 3.31 *    *     *     1.37  *     1.99  *     3.43  1.76  2.26  *     0.58 *     *     -0.21 -0.07 *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1194  2     TAK11       BD+44493                    BD+44_493                          *        *        *     SG    2_26_49.73813  44_57_46.5153  -150.6  2006AstL...32..759G *       9.63    9.11    *       *       7.659   7.269   7.202   5510   3.7    -3.68 1.3     *     *     *    *    *    *    *    *    *    *    *    4.83 *    *     *     *     *     *     *     3.82  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1195  1     FUL00       HIP22246                    BD+45_983                          R1       *        *     MS    4_47_18.37129  45_59_10.6275  95.76   2002AJ....124.1144L *       11.04   10.24   9.6     9.2     8.645   8.186   8.162   5200   4.5    -0.2  1.2     *     *     *    *    *    *    5.98 7.61 6.44 7.42 *    *    *    6.01  *     4.75  3.81  5.21  *     7.14  *     5.86  *     *    *     *     *     *     *    *     1.7   *     *     *     *     *     *     *     *     *    *     1.6   *     *     *     *     *     0.7   *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1196  1     FUL00       HIP21586                    BD+50_1021                         *        *        *     MS    4_38_7.83416   51_10_12.4678  *       *                   *       11.28   10.43   9.9     9.5     8.823   8.412   8.278   4850   4.1    -0.8  0.25    *     *     *    *    *    *    5.46 6.98 5.93 6.99 *    *    *    5.71  *     4.39  3.35  4.79  *     6.61  *     5.43  *     *    *     *     *     *     *    *     1.26  *     *     *     *     *     *     *     *     *    *     1.05  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1197  1     BEN14       HIP16404                    BD+66_268                          *        *        *     MS    3_31_17.39966  66_43_49.0378  -161.9  2002AJ....124.1144L 10.48   10.57   9.91    9.3     8.87    8.53    8.16    8.07    5149   4.64   -2.26 1.21    *     *     *    *    *    *    3.51 5.52 *    *    *    *    *    4.28  *     2.95  *     3.5   *     5.19  *     3.98  *     2.69 *     *     *     *     *    *     -0.17 *     *     *     *     *     *     *     *     *    *     -0.48 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      5.33  
1198  2     FUL00       HIP40068                    BD+80_245                          *        *        *     RG    8_11_6.2358    79_54_29.5674  4.75    2002AJ....124.1144L *       10.57   10.07   9.6     9.3     8.711   8.333   8.261   5225   3      -1.9  1.35    *     *     *    *    *    *    3.78 5.45 *    *    *    *    *    4.19  *     2.77  *     3.5   *     5.47  *     4.18  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.79 *     *     *     *     *     -2.58 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1199  2     IVA03       G251-54                     BD+80_245                          R1       *        *     RG    8_11_6.2358    79_54_29.5674  4.75    2002AJ....124.1144L *       10.57   10.07   9.6     9.3     8.711   8.333   8.261   5225   3      -2.07 1.25    1.44  *     6.43 5.83 6.74 *    3.83 5.27 3.05 5.35 *    *    *    4.09  0.66  2.68  1.52  3.43  3.04  5.41  2.65  4.07  *     2.09 1.53  *     *     *     *    0.03  -1.12 *     *     *     *     *     *     *     *     *    *     -1.85 0.62  *     *     *     *     -1.01 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1200  1     ROE14b      BD+80245                    BD+80_245                          *        *        *     RG    8_11_6.2358    79_54_29.5674  4.75    2002AJ....124.1144L *       10.57   10.07   9.6     9.3     8.711   8.333   8.261   5360   3.15   -2.01 1.2     1.5   *     6.61 6.8  6.85 *    *    5.27 3.01 *    *    *    *    4.1   0.67  2.56  1.48  3.42  3.07  5.46  2.57  4.12  *     2.14 *     *     *     *     2.12 -0.06 -1.23 -0.1  1.14  0.7   *     *     *     *     *     *    *     -1.64 *     -0.71 *     *     -0.65 -1.72 -0.33 -0.12 0.24  *     -0.62 -1.05 -1.48 *     -0.17 *     *     1.35  *     *     *    0.95  *     *     *     *      2.72   1.62  3.83   *      5.49  
1201  2     LAI07       BS16077-007                 BPS_BS_16077-0007                  *        NO       *     SG    11_35_18       31_0_29        *       *                   *       12.54   12.21   *       *       *       *       *       5958   3.68   -2.82 *       *     *     6.74 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.68  *     *     *     *    *     *     *     *     *    0.35  *     *     *     *     *     *     *     *     *     *    *     -0.69 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1202  1     LAI08       BS16077-007                 BPS_BS_16077-0007                  R1       *        *     MS    11_35_18       31_0_29        *       *                   *       12.54   12.21   *       *       *       *       *       6544   4.29   -2.8  1.6     *     *     6.4  6    7.5  *    *    5.2  *    4.96 *    *    *    4.07  0.66  2.82  1.6   2.8   2.15  4.79  2.54  3.61  *     *    *     *     *     *     *    0.37  -0.28 0.63  *     *     *     *     *     *     *     *    *     -0.8  *     *     *     *     *     -1.5  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1203  1     LAI07       BS16470-092                 BPS_BS_16470-0092                  *        *        *     SG    12_23_38.8     14_41_21       *       *                   *       14.42   13.94   *       *       *       *       *       5948   3.67   -1.83 *       *     *     6.93 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.67  *     *     *     *    *     *     *     *     *    1.3   *     *     *     *     *     *     *     *     *     *    *     -0.12 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1204  1     LAI07       BS16472-081                 BPS_BS_16472-0081                  *        *        *     RG    15_9_47.7      -1_19_44       *       *                   *       14.75   13.86   *       *       *       *       *       4835   1.82   -1.56 *       *     *     6.85 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.94  *     *     *     *    *     *     *     *     *    1.5   *     *     *     *     *     *     *     *     *     *    *     0.51  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1205  1     HAN11       CS30317-056                 BPS_BS_16477-0021                  *        NO       *     HB    14_37_51.3     6_17_44.87     *       *                   *       14.49   14.04   13.7    *       12.941  12.659  12.634  6000   2      -2.85 3       1     *     6.49 *    6.92 *    *    5.21 2.96 4.75 *    5.26 *    3.91  0.46  2.8   *     2.64  1.91  4.65  2.34  3.27  *     *    *     *     *     *     *    0.15  *     *     *     *     *     *     *     *     *     *    *     -1.04 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.72   *     *      *      *     
1206  1     LAI07       BS16543-092                 BPS_BS_16543-0092                  *        *        *     RG    13_25_22.1     19_29_48       *       *                   *       *       14.157  *       *       *       *       *       4523   1.14   -2.36 *       *     *     5.2  *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.14  *     *     *     *    *     *     *     *     *    0.15  *     *     *     *     *     *     *     *     *     *    *     -0.81 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1207  1     LAI07       BS16546-076                 BPS_BS_16546-0076                  *        *        *     RG    14_26_24       11_58_42       *       *                   *       14.54   13.68   *       *       *       *       *       4775   1.68   -1.74 *       *     *     6.67 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.76  *     *     *     *    *     *     *     *     *    1.55  *     *     *     *     *     *     *     *     *     *    *     0.49  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1208  1     LAI07       BS16547-005                 BPS_BS_16547-0005                  *        *        *     RG    15_12_18.9     -2_30_0        *       *                   *       13.77   12.89   *       *       *       *       *       4917   2.01   -1.79 *       *     *     6.67 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.71  *     *     *     *    *     *     *     *     *    1.15  *     *     *     *     *     *     *     *     *     *    *     0.19  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1209  1     LAI07       BS16547-025                 BPS_BS_16547-0025                  *        *        *     RG    15_15_38       -3_20_38       *       *                   *       14.4    13.62   *       *       *       *       *       5197   2.74   -1.62 *       *     *     6.14 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.88  *     *     *     *    *     *     *     *     *    1.65  *     *     *     *     *     *     *     *     *     *    *     0.99  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1210  1     RYA96       BS16547-049                 BPS_BS_16547-0049                  R2       *        *     HB    15_19_9.4      -3_2_58        *       *                   *       14.48   13.98   *       *       *       *       *       5850   3      -3.01 1.4     *     *     *    *    *    *    *    5.06 2.7  4.92 *    *    *    3.82  0.39  2.31  *     2.4   1.83  4.49  *     3.14  *     *    *     *     *     *     *    -0.15 -1.28 *     *     *     *     *     *     *     *     *    *     -1.51 *     *     *     *     *     -0.99 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1211  1     LAI07       BS16547-099                 BPS_BS_16547-0099                  *        *        *     SG    15_26_28       -2_37_7        *       *                   *       14.83   14.15   *       *       *       *       *       5856   3.63   -1.34 *       *     *     7.42 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     6.16  *     *     *     *    *     *     *     *     *    2     *     *     *     *     *     *     *     *     *     *    *     1.47  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1212  1     LAI07       BS16934-009                 BPS_BS_16934-0009                  *        *        *     RG    13_31_22       15_4_49        *       *                   *       14      12.73   *       *       *       *       *       4256   0.59   -1.55 *       *     *     6.41 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.95  *     *     *     *    *     *     *     *     *    1.65  *     *     *     *     *     *     *     *     *     *    *     0.8   *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1213  1     LAI07       BS16934-072                 BPS_BS_16934-0072                  *        *        *     SG    13_44_25.9     13_44_11       *       *                   *       14.54   14.13   *       *       *       *       *       6187   3.78   -1.8  *       *     *     7.16 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.7   *     *     *     *    *     *     *     *     *    0.9   *     *     *     *     *     *     *     *     *     *    *     0.62  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1214  2     AND10       BS16968-061                 BPS_BS_16968-0061                  *        *        *     SG    15_1_6.4       3_42_46        *       *                   *       13.69   13.26   *       *       *       *       *       6040   3.8    -3.05 1.5     *     *     *    *    *    *    *    4.82 *    *    *    *    *    *     *     *     *     *     *     4.45  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1215  2     BON09       BS16968-061                 BPS_BS_16968-0061                  *        *        *     SG    15_1_6.4       3_42_46        *       *                   *       13.69   13.26   *       *       *       *       *       6035   3.75   -3.05 1.5     *     *     5.95 *    *    *    *    4.82 *    4.81 *    *    *    3.68  0.56  2.35  *     2.38  1.7   4.45  2.27  3.24  *     1.83 *     *     *     *     *    -0.65 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1216  1     RYA96       BS16968-061                 BPS_BS_16968-0061                  R2       *        *     SG    15_1_6.4       3_42_46        *       *                   *       13.69   13.26   *       *       *       *       *       6000   4      -3.08 1.5     *     *     *    *    *    *    *    4.98 2.65 4.66 *    *    *    3.55  0.55  2.57  *     2.27  1.61  4.42  2.47  3.22  *     *    *     *     *     *     *    -0.68 -0.17 *     *     *     *     *     *     *     *     *    *     -1.13 *     *     *     *     *     -0.56 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1217  2     SPI11       BS16968-061                 BPS_BS_16968-0061                  *        *        *     SG    15_1_6.4       3_42_46        *       *                   *       13.69   13.26   *       *       *       *       *       6040   3.8    -3.05 1.5     *     *     *    *    *    *    *    *    *    *    *    4.9  *    *     *     *     *     *     *     4.45  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1218  2     SPI12       BS16968-061                 BPS_BS_16968-0061                  *        *        *     SG    15_1_6.4       3_42_46        *       *                   *       13.69   13.26   *       *       *       *       *       6040   3.8    -3.05 1.5     *     *     *    *    *    *    *    *    *    *    *    *    *    3.77  *     *     *     *     *     4.45  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1219  1     LAI07       BS16972-003                 BPS_BS_16972-0003                  *        *        *     SG    13_9_6         15_24_16       *       *                   *       14.68   14.28   *       *       *       *       *       6231   3.8    -2.42 *       *     *     6.14 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.08  *     *     *     *    *     *     *     *     *    0.3   *     *     *     *     *     *     *     *     *     *    *     -0.59 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1220  1     LAI07       BS16986-072                 BPS_BS_16986-0072                  *        *        *     RG    12_3_57.3      8_2_48         *       *                   *       *       13.367  *       *       *       *       *       4478   1.04   -1.53 *       *     *     6.58 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.97  *     *     *     *    *     *     *     *     *    1.4   *     *     *     *     *     *     *     *     *     *    *     0.41  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1221  1     LAI07       BS17446-025                 BPS_BS_17446-0025                  *        *        *     SG    15_19_38.3     44_23_36       -176    2000AJ....120.1516A *       *       *       *       *       *       *       *       5960   3.68   -2.38 *       *     *     6.18 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.12  *     *     *     *    *     *     *     *     *    0     *     *     *     *     *     *     *     *     *     *    *     -1.07 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1222  1     LAI07       BS17570-090                 BPS_BS_17570-0090                  *        *        *     SG    0_25_43.8      23_5_40        -236    2000AJ....120.1516A *       13.54   13.15   *       *       *       *       *       5924   3.66   -2.6  *       *     *     5.96 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.9   *     *     *     *    *     *     *     *     *    -0.5  *     *     *     *     *     *     *     *     *     *    *     -0.47 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
