|        Star | [Fe/H] | e_fe | NFe | fe2_h | e_fe2 | NFe2 | [Na/H] | e_na | Nna | [Mg/H] | e_mg | NMg | [Si/H] | e_si | NSi | [Ca/H] | e_ca | NCa | [Sc/H] | e_sc | NSc | [TiI/H] | e_ti1 | NTi1 | [Ti/H] | e_ti | NTi | [Cr/H] | e_cr | NCr | [Ni/H] | e_ni | NNi | [Y/H] |  e_y | NY | [Ba/H] | e_ba | NBa | [La/H] | e_la | NLa | [Nd/H] | e_nd | NNd | [Eu/H] | e_eu | NEu | [Na/Fe] | [Mg/Fe] | [Si/Fe] | [Ca/Fe] | [Sc/Fe] | [Ti/Fe] | [Cr/Fe] | [Ni/Fe] | [Y/Fe] | [Ba/Fe] | [La/Fe] | [Nd/Fe] | [Eu/Fe] |
| Fnx-mem0634 |  -0.26 | 0.07 |  41 | -0.11 |  0.25 |    3 |        |      |     |  -0.30 | 0.43 |   1 |  -0.75 | 0.43 |   1 |  -0.87 | 0.14 |  10 |  -0.71 | 0.43 |   1 |   -1.26 |  0.15 |    8 |  -0.24 | 0.30 |   2 |        |      |     |  -0.49 | 0.14 |  10 |       |      |    |        |      |     |  -0.47 | 0.30 |   2 |        |      |     |  -0.08 | 0.43 |   1 |         |   -0.04 |   -0.49 |   -0.61 |   -0.45 |    0.02 |         |   -0.23 |        |         |   -0.21 |         |    0.18 |
| Fnx-mem0638 |  -0.70 | 0.03 |  51 | -0.26 |  0.11 |    6 |  -1.92 | 0.23 |   1 |  -0.78 | 0.23 |   1 |  -0.74 | 0.16 |   2 |  -1.13 | 0.08 |   9 |        |      |     |   -1.05 |  0.08 |    9 |  -0.52 | 0.23 |   1 |  -0.97 | 0.23 |   1 |  -1.03 | 0.09 |   7 |       |      |    |  -0.26 | 0.23 |   1 |  -0.53 | 0.16 |   2 |  -0.43 | 0.23 |   1 |  -0.60 | 0.23 |   1 |   -1.22 |   -0.08 |   -0.04 |   -0.43 |         |    0.18 |   -0.27 |   -0.33 |        |    0.44 |    0.17 |    0.27 |    0.10 |
| Fnx-mem0647 |  -1.48 | 0.02 |  37 | -0.82 |  0.12 |    5 |        |      |     |  -1.47 | 0.13 |   1 |        |      |     |  -1.65 | 0.05 |   8 |  -1.34 | 0.13 |   1 |   -1.97 |  0.13 |    3 |  -1.44 | 0.17 |   3 |  -1.76 | 0.13 |   1 |  -1.59 | 0.07 |  10 |       |      |    |  -1.27 | 0.13 |   1 |        |      |     |        |      |     |  -1.02 | 0.13 |   1 |         |    0.01 |         |   -0.17 |    0.14 |    0.04 |   -0.28 |   -0.11 |        |    0.21 |         |         |    0.46 |
| Fnx-mem0654 |  -1.92 | 0.03 |  33 | -1.33 |  0.10 |    3 |        |      |     |  -1.38 | 0.18 |   1 |        |      |     |  -1.84 | 0.07 |   7 |        |      |     |   -1.89 |  0.28 |    2 |  -1.61 | 0.18 |   1 |        |      |     |  -1.72 | 0.12 |  10 |       |      |    |        |      |     |        |      |     |        |      |     |  -1.12 | 0.18 |   1 |         |    0.54 |         |    0.08 |         |    0.31 |         |    0.20 |        |         |         |         |    0.80 |
| Fnx-mem0664 |  -2.31 | 0.02 |  22 | -1.63 |  0.13 |    2 |        |      |     |  -1.65 | 0.09 |   1 |        |      |     |  -2.28 | 0.06 |   2 |        |      |     |         |       |      |  -2.20 | 0.19 |   2 |  -2.55 | 0.09 |   1 |  -2.23 | 0.12 |   5 |       |      |    |  -2.13 | 0.09 |   1 |        |      |     |        |      |     |        |      |     |         |    0.66 |         |    0.03 |         |    0.11 |   -0.24 |    0.08 |        |    0.18 |         |         |         |
| Fnx-mem0675 |  -0.81 | 0.03 |  55 | -0.49 |  0.09 |    6 |  -1.55 | 0.22 |   1 |  -1.02 | 0.22 |   1 |  -0.92 | 0.22 |   1 |  -1.11 | 0.09 |   7 |  -0.94 | 0.22 |   1 |   -1.35 |  0.11 |    4 |  -1.12 | 0.16 |   2 |        |      |     |  -1.07 | 0.07 |  10 | -0.98 | 0.22 |  1 |  -0.68 | 0.22 |   1 |        |      |     |  -0.16 | 0.22 |   1 |  -0.46 | 0.22 |   1 |   -0.74 |   -0.21 |   -0.11 |   -0.30 |   -0.13 |   -0.31 |         |   -0.26 |  -0.17 |    0.13 |         |    0.65 |    0.35 |
| Fnx-mem0678 |  -0.67 | 0.03 |  41 | -0.20 |  0.20 |    1 |        |      |     |  -1.07 | 0.20 |   1 |        |      |     |  -0.74 | 0.09 |   5 |        |      |     |   -1.25 |  0.10 |    8 |  -0.72 | 0.19 |   3 |  -0.78 | 0.20 |   1 |  -0.91 | 0.08 |  11 |       |      |    |        |      |     |  -0.55 | 0.14 |   2 |  -0.30 | 0.19 |   2 |  -0.56 | 0.20 |   1 |         |   -0.40 |         |   -0.07 |         |   -0.05 |   -0.11 |   -0.24 |        |         |    0.12 |    0.37 |    0.11 |
| Fnx-mem0682 |  -0.76 | 0.03 |  50 | -0.46 |  0.09 |    5 |        |      |     |  -0.96 | 0.20 |   1 |        |      |     |  -1.05 | 0.07 |   9 |  -1.08 | 0.20 |   1 |   -1.22 |  0.11 |    8 |  -1.02 | 0.34 |   2 |  -0.65 | 0.20 |   1 |  -1.10 | 0.07 |   8 |       |      |    |  -0.57 | 0.20 |   1 |  -1.03 | 0.14 |   2 |        |      |     |  -0.59 | 0.20 |   1 |         |   -0.20 |         |   -0.29 |   -0.32 |   -0.26 |    0.11 |   -0.34 |        |    0.19 |   -0.27 |         |    0.17 |
| Fnx-mem0704 |  -2.55 | 0.02 |  20 | -1.65 |  0.09 |    3 |  -1.05 | 0.09 |   1 |        |      |     |  -1.37 | 0.09 |   1 |  -1.86 | 0.11 |   3 |        |      |     |         |       |      |  -1.90 | 0.09 |   1 |        |      |     |  -2.09 | 0.11 |   2 |       |      |    |  -2.15 | 0.09 |   1 |        |      |     |        |      |     |  -1.45 | 0.09 |   1 |    1.50 |         |    1.18 |    0.69 |         |    0.65 |         |    0.46 |        |    0.40 |         |         |    1.10 |
| Fnx-mem0712 |  -2.09 | 0.05 |  23 | -1.48 |  0.13 |    3 |        |      |     |  -1.65 | 0.22 |   1 |        |      |     |  -1.62 | 0.31 |   6 |        |      |     |         |       |      |  -1.40 | 0.21 |   2 |        |      |     |  -2.11 | 0.22 |   1 |       |      |    |  -2.17 | 0.22 |   1 |        |      |     |        |      |     |        |      |     |         |    0.44 |         |    0.47 |         |    0.69 |         |   -0.02 |        |   -0.08 |         |         |         |
| Fnx-mem0714 |  -1.79 | 0.07 |  26 | -1.05 |  0.21 |    3 |        |      |     |  -1.83 | 0.36 |   1 |        |      |     |  -1.80 | 0.15 |   6 |        |      |     |   -1.76 |  0.25 |    2 |  -1.31 | 0.36 |   1 |  -2.46 | 0.36 |   1 |  -1.98 | 0.18 |   4 |       |      |    |  -1.54 | 0.28 |   2 |        |      |     |        |      |     |        |      |     |         |   -0.04 |         |   -0.01 |         |    0.48 |   -0.67 |   -0.19 |        |    0.25 |         |         |         |
| Fnx-mem0715 |  -0.98 | 0.03 |  49 | -0.65 |  0.12 |    4 |        |      |     |  -1.09 | 0.23 |   1 |  -0.87 | 0.16 |   2 |  -1.30 | 0.12 |   4 |        |      |     |   -1.53 |  0.08 |    8 |  -0.62 | 0.25 |   2 |  -1.51 | 0.23 |   1 |  -1.06 | 0.06 |  14 |       |      |    |        |      |     |  -0.82 | 0.33 |   2 |  -0.44 | 0.23 |   1 |  -0.61 | 0.23 |   1 |         |   -0.11 |    0.11 |   -0.32 |         |    0.36 |   -0.53 |   -0.08 |        |         |    0.16 |    0.54 |    0.37 |
| Fnx-mem0717 |  -0.30 | 0.04 |  56 |  0.08 |  0.31 |    1 |  -1.59 | 0.22 |   2 |  -0.61 | 0.31 |   1 |  -0.44 | 0.22 |   2 |  -0.43 | 0.15 |   4 |        |      |     |   -0.62 |  0.18 |    7 |  -0.97 | 0.31 |   1 |  -0.75 | 0.31 |   1 |  -0.75 | 0.12 |  10 |       |      |    |        |      |     |  -0.36 | 0.31 |   1 |   0.62 | 0.31 |   1 |        |      |     |   -1.29 |   -0.31 |   -0.14 |   -0.13 |         |   -0.67 |   -0.45 |   -0.45 |        |         |   -0.06 |    0.92 |         |
