CS 22878-101     16 45 31.4 +08 14 45.5 4796 1.44 1.9 -3.4 -3.31 0 6,  7     
BS 16080-093     16 50 38.3 +59 13 06.5 4945 1.85 1.9 -3.2 -3.23 0 14        
G 139-8          17 01 44.0 +16 09 03.6 6266 4.42 1.0 -2.1 -2.03 0 6         
BD +17 deg 3248  17 28 14.5 +17 30 35.9 5240 2.72 1.5 -2.2 -2.17 0 7         
BD +23 deg 3130  17 32 41.6 +23 44 11.7 5262 2.76 1.4 -2.5 -2.52 0 14        
CS 22891-209     19 42 02.2 -61 03 44.7 4699 1.18 2.1 -3.3 -3.32 0 7         
CS 22896-154     19 42 26.9 -56 58 34.0 5100 2.28 1.4 -2.9 -2.85 0 7         
HD 186478        19 45 14.1 -17 29 26.9 4629 1.07 2.0 -2.6 -2.68 0 7, 13     
CS 22873-055     19 53 49.8 -59 40 00.2 4551 0.82 2.1 -3.0 -2.99 0 7         
BD -18 deg 5550  19 58 49.7 -18 12 10.9 4558 0.81 1.7 -3.2 -3.20 1 7         
CS 22873-166     20 19 22.0 -61 30 14.9 4516 0.77 1.6 -2.7 -2.74 1 7         
CS 22885-096     20 20 51.2 -39 53 30.2 4992 1.93 1.8 -3.9 -3.86 0 7         
CS 22950-046     20 21 28.4 -13 16 33.6 4769 1.37 1.7 -3.4 -3.39 0 6         
HD 196944        20 40 46.1 -06 47 50.6 5255 2.74 1.6 -2.5 -2.44 1 1         
CS 22880-086     20 45 47.5 -18 33 32.4 5196 2.54 1.5 -3.1 -3.05 0 14        
CS 22880-074     20 46 03.2 -20 59 14.2 5621 3.50 1.3 -2.3 -2.29 1 1         
SDSS 2047+00     20 47 28.8 +00 15 53.8 6383 4.36 1.0 -2.4 -2.36 1 4         
CS 22897-008     21 03 11.9 -65 05 08.8 4795 1.43 1.9 -3.5 -3.50 1 7         
CS 29498-043     21 03 52.1 -29 42 50.2 4639 1.00 1.7 -3.5 -3.49 1 1         
CS 29506-007     21 20 28.7 -20 46 22.9 6522 3.94 1.7 -2.8 -2.73 0 5, 14     
CS 29506-090     21 30 28.9 -22 10 41.4 6603 4.18 1.6 -2.6 -2.62 0 5         
